YTDreturn,company,number,symbol
   3.61%,IDEXX LABORATORIES INC,231,IDXX
   3.53%,PULTEGROUP INC,232,PHM
   3.51%,AMERICAN ELECTRIC POWER,233,AEP
   3.26%,EPAM SYSTEMS INC,234,EPAM
   3.24%,LENNAR CORP A,235,LEN
   3.18%,DARDEN RESTAURANTS INC,236,DRI
   3.18%,PAYCHEX INC,237,PAYX
   3.12%,UNION PACIFIC CORP,238,UNP
   3.09%,JOHNSON CONTROLS INTERNATION,239,JCI
   3.06%,OMNICOM GROUP,240,OMC
   2.94%,T ROWE PRICE GROUP INC,241,TROW
   2.83%,HENRY SCHEIN INC,242,HSIC
   2.71%,DIGITAL REALTY TRUST INC,243,DLR
   2.71%,JOHNSON + JOHNSON,244,JNJ
   2.68%,T MOBILE US INC,245,TMUS
   2.61%,DOW INC,246,DOW
   2.55%,PRINCIPAL FINANCIAL GROUP,247,PFG
   2.53%,MOLSON COORS BEVERAGE CO   B,248,TAP
   2.39%,COCA COLA CO/THE,249,KO
   2.36%,HUNTINGTON BANCSHARES INC,250,HBAN
   2.25%,MATCH GROUP INC,251,MTCH
   2.23%,TE CONNECTIVITY LTD,252,TEL
   2.21%,CONSTELLATION BRANDS INC A,253,STZ
   2.20%,GARTNER INC,254,IT
   2.16%,WELLTOWER INC,255,WELL
   2.12%,BIO RAD LABORATORIES A,256,BIO
   2.05%,ALLEGION PLC,257,ALLE
   2.01%,CHEVRON CORP,258,CVX
   1.97%,ELECTRONIC ARTS INC,259,EA
   1.81%,BANK OF AMERICA CORP,260,BAC
   1.80%,COTERRA ENERGY INC,261,CTRA
   1.77%,MEDTRONIC PLC,262,MDT
   1.77%,EBAY INC,263,EBAY
   1.75%,WEST PHARMACEUTICAL SERVICES,264,WST
   1.70%,VERISK ANALYTICS INC,265,VRSK
   1.68%,DOMINION ENERGY INC,266,D
   1.55%,ESTEE LAUDER COMPANIES CL A,267,EL
   1.49%,OCCIDENTAL PETROLEUM CORP,268,OXY
   1.45%,NORDSON CORP,269,NDSN
   1.39%,ALTRIA GROUP INC,270,MO
   1.31%,GOLDMAN SACHS GROUP INC,271,GS
   1.24%,QORVO INC,272,QRVO
   1.20%,M + T BANK CORP,273,MTB
   1.04%,WATERS CORP,274,WAT
   1.00%,BEST BUY CO INC,275,BBY
   0.97%,MONDELEZ INTERNATIONAL INC A,276,MDLZ
   0.91%,BROWN FORMAN CORP CLASS B,277,BF.B
   0.90%,ZEBRA TECHNOLOGIES CORP CL A,278,ZBRA
   0.86%,EXELON CORP,279,EXC
   0.83%,ZOETIS INC,280,ZTS
   0.80%,HESS CORP,281,HES
   0.71%,TYSON FOODS INC CL A,282,TSN
   0.70%,PUBLIC SERVICE ENTERPRISE GP,283,PEG
   0.60%,WILLIAMS COS INC,284,WMB
   0.57%,FIRSTENERGY CORP,285,FE
   0.54%,MARATHON OIL CORP,286,MRO
   0.53%,L3HARRIS TECHNOLOGIES INC,287,LHX
   0.39%,HERSHEY CO/THE,288,HSY
   0.37%,ILLUMINA INC,289,ILMN
   0.35%,ROPER TECHNOLOGIES INC,290,ROP
   0.35%,CF INDUSTRIES HOLDINGS INC,291,CF
   0.30%,AT+T INC,292,T
   0.02%,METTLER TOLEDO INTERNATIONAL,293,MTD
   -0.06%,LIVE NATION ENTERTAINMENT IN,294,LYV
   -0.10%,CARMAX INC,295,KMX
   -0.16%,ILLINOIS TOOL WORKS,296,ITW
   -0.17%,SMITH (A.O.) CORP,297,AOS
   -0.26%,KIMBERLY CLARK CORP,298,KMB
   -0.34%,FOX CORP   CLASS A,299,FOXA
   -0.42%,ENTERGY CORP,300,ETR
   -0.50%,KELLANOVA,301,K
   -0.58%,ALPHABET INC CL A,302,GOOGL
   -0.59%,ALPHABET INC CL C,303,GOOG
   -0.61%,PROLOGIS INC,304,PLD
   -0.74%,INTERPUBLIC GROUP OF COS INC,305,IPG
   -0.85%,MCCORMICK + CO NON VTG SHRS,306,MKC
   -0.92%,COOPER COS INC/THE,307,COO
   -0.93%,MCDONALD S CORP,308,MCD
   -0.99%,PEPSICO INC,309,PEP
   -1.06%,BECTON DICKINSON AND CO,310,BDX
   -1.12%,NETAPP INC,311,NTAP
   -1.27%,CMS ENERGY CORP,312,CMS
   -1.38%,MSCI INC,313,MSCI
   -1.39%,BLACKROCK INC,314,BLK
   -1.41%,AMEREN CORPORATION,315,AEE
   -1.43%,GENERAL MILLS INC,316,GIS
   -1.44%,FLEETCOR TECHNOLOGIES INC,317,FLT
   -1.51%,FIFTH THIRD BANCORP,318,FITB
   -1.53%,HASBRO INC,319,HAS
   -1.56%,FORD MOTOR CO,320,F
   -1.56%,BRISTOL MYERS SQUIBB CO,321,BMY
   -1.70%,INVITATION HOMES INC,322,INVH
   -1.81%,KEYCORP,323,KEY
   -1.92%,POOL CORP,324,POOL
   -1.95%,BOOKING HOLDINGS INC,325,BKNG
   -1.95%,FOX CORP   CLASS B,326,FOX
   -1.96%,STARBUCKS CORP,327,SBUX
   -2.00%,NISOURCE INC,328,NI
   -2.04%,PAYPAL HOLDINGS INC,329,PYPL
   -2.09%,NORTHROP GRUMMAN CORP,330,NOC
   -2.16%,DEVON ENERGY CORP,331,DVN
   -2.24%,CAMPBELL SOUP CO,332,CPB
   -2.24%,ROLLINS INC,333,ROL
   -2.37%,CBRE GROUP INC   A,334,CBRE
   -2.41%,CONAGRA BRANDS INC,335,CAG
   -2.47%,PPL CORP,336,PPL
   -2.48%,UNITEDHEALTH GROUP INC,337,UNH
   -2.60%,MONSTER BEVERAGE CORP,338,MNST
   -2.66%,DTE ENERGY COMPANY,339,DTE
   -2.66%,KINDER MORGAN INC,340,KMI
   -2.76%,EQUITY RESIDENTIAL,341,EQR
   -2.78%,AFLAC INC,342,AFL
   -2.79%,BROADRIDGE FINANCIAL SOLUTIO,343,BR
   -2.85%,INCYTE CORP,344,INCY
   -2.86%,COSTAR GROUP INC,345,CSGP
   -2.88%,S+P GLOBAL INC,346,SPGI
   -2.91%,ATMOS ENERGY CORP,347,ATO
   -2.96%,JM SMUCKER CO/THE,348,SJM
   -3.04%,NASDAQ INC,349,NDAQ
   -3.08%,NORTHERN TRUST CORP,350,NTRS
   -3.15%,NIKE INC  CL B,351,NKE
   -3.19%,BLACKSTONE INC,352,BX
   -3.19%,KRAFT HEINZ CO/THE,353,KHC
   -3.22%,CENTERPOINT ENERGY INC,354,CNP
   -3.24%,TEXAS INSTRUMENTS INC,355,TXN
   -3.25%,FACTSET RESEARCH SYSTEMS INC,356,FDS
   -3.27%,MODERNA INC,357,MRNA
   -3.29%,HALLIBURTON CO,358,HAL
   -3.30%,MOODY S CORP,359,MCO
   -3.31%,AMGEN INC,360,AMGN
   -3.37%,REVVITY INC,361,RVTY
   -3.41%,CVS HEALTH CORP,362,CVS
   -3.60%,COMCAST CORP CLASS A,363,CMCSA
   -3.72%,CELANESE CORP,364,CE
   -3.77%,HORMEL FOODS CORP,365,HRL
   -3.83%,EVERGY INC,366,EVRG
   -3.84%,CONOCOPHILLIPS,367,COP
   -3.94%,PINNACLE WEST CAPITAL,368,PNW
   -3.97%,EVERSOURCE ENERGY,369,ES
   -3.98%,KEYSIGHT TECHNOLOGIES IN,370,KEYS
   -4.00%,ALEXANDRIA REAL ESTATE EQUIT,371,ARE
   -4.09%,EASTMAN CHEMICAL CO,372,EMN
   -4.13%,REGIONS FINANCIAL CORP,373,RF
   -4.15%,PHILIP MORRIS INTERNATIONAL,374,PM
   -4.19%,HP INC,375,HPQ
   -4.19%,CARRIER GLOBAL CORP,376,CARR
   -4.30%,DR HORTON INC,377,DHI
   -4.37%,CISCO SYSTEMS INC,378,CSCO
   -4.41%,US BANCORP,379,USB
   -4.50%,CONSOLIDATED EDISON INC,380,ED
   -4.57%,FEDEX CORP,381,FDX
   -4.66%,AGILENT TECHNOLOGIES INC,382,A
   -4.74%,NORWEGIAN CRUISE LINE HOLDIN,383,NCLH
   -4.78%,ANALOG DEVICES INC,384,ADI
   -4.79%,TELEDYNE TECHNOLOGIES INC,385,TDY
   -4.82%,ROYAL CARIBBEAN CRUISES LTD,386,RCL
   -4.91%,SEMPRA,387,SRE
   -4.99%,FEDERAL REALTY INVS TRUST,388,FRT
   -5.01%,SCHWAB (CHARLES) CORP,389,SCHW
   -5.03%,LOCKHEED MARTIN CORP,390,LMT
   -5.10%,LABORATORY CRP OF AMER HLDGS,391,LH
   -5.12%,BIO TECHNE CORP,392,TECH
   -5.14%,STATE STREET CORP,393,STT
   -5.14%,APPLE INC,394,AAPL
   -5.22%,SOUTHERN CO/THE,395,SO
   -5.22%,SNAP ON INC,396,SNA
   -5.29%,EDISON INTERNATIONAL,397,EIX
   -5.37%,DENTSPLY SIRONA INC,398,XRAY
   -5.38%,WEYERHAEUSER CO,399,WY
   -5.39%,INTERNATIONAL PAPER CO,400,IP
   -5.50%,HONEYWELL INTERNATIONAL INC,401,HON
   -5.53%,TRUIST FINANCIAL CORP,402,TFC
   -5.54%,EQT CORP,403,EQT
   -5.70%,UNITED PARCEL SERVICE CL B,404,UPS
   -5.75%,PNC FINANCIAL SERVICES GROUP,405,PNC
   -5.78%,PPG INDUSTRIES INC,406,PPG
   -5.80%,EOG RESOURCES INC,407,EOG
   -5.86%,XCEL ENERGY INC,408,XEL
   -6.00%,MGM RESORTS INTERNATIONAL,409,MGM
   -6.02%,VERISIGN INC,410,VRSN
   -6.10%,CAMDEN PROPERTY TRUST,411,CPT
   -6.13%,GEN DIGITAL INC,412,GEN
   -6.38%,DUKE ENERGY CORP,413,DUK
   -6.58%,CITIZENS FINANCIAL GROUP,414,CFG
   -6.60%,PFIZER INC,415,PFE
